             SkyHua Virtual           
 菜品            价格         数量        小计
 麻婆豆腐            35.00         00        0.00
 酸辣土豆丝            20.00         00        0.00
 番茄菜花            25.00         00        0.00
 红烧茄子            24.00         00        0.00
 虎皮青椒            23.00         00        0.00
 地三鲜            30.00         00        0.00
 荷塘小炒            28.00         00        0.00
 虾球娃娃菜            28.00         00        0.00
 杭椒掌中宝            41.00         00        0.00
 红烧肉            45.00         00        0.00
 糖醋排骨            40.00         00        0.00
 臭鳜鱼            68.00         00        0.00
 糖醋鱼            60.00         00        0.00
 鱼香肉丝            38.00         00        0.00
 肉末蒸蛋            30.00         00        0.00
 北京烤鸭            50.00         00        0.00
 地锅鸡            78.00         00        0.00
 铁板鱿鱼            36.00         00        0.00
 蒜蓉虾            56.00         00        0.00
 爆炒鹅肝            58.00         00        0.00
 辣白菜            8.00         00        0.00
 皮蛋拌豆腐            10.00         00        0.00
 凉拌海带丝            8.00         00        0.00
 米饭            2.00         00        0.00
 扬州炒饭            8.00         00        0.00
 蛋炒河粉            8.00         00        0.00
 莲子百合红豆沙            16.00         00        0.00
 双皮奶            8.00         00        0.00
 银耳羹            8.00         00        0.00
 葡式蛋挞            10.00         00        0.00
 听装可乐            4.00         00        0.00
 听装王老吉            4.00         00        0.00
 椰汁            10.00         00        0.00
 鲜榨玉米汁            8.00         00        0.00
 听装雪花啤酒            5.00         00        0.00
 牛奶            5.00         00        0.00
合计金额 ：              35.00元
实收：   35.00元
找零：   0.00元
              请收好小票，钱物及时核对
